"public_traded","ticker","exchange","market_cap","revenue","no_employes","founding_date","location","related_domains","domain"
" Yes "," AMZN "," NASDAQ "," $1.65 trillion "," $477.99 billion "," 1.6 million "," 1994 "," Seattle, Washington "," amazon.com, aws.amazon.com, amazonprimevideo.com, amazonmusic.com, audible.com, goodreads.com, zappos.com, imdb.com, twitch.tv, ring.com, blink.com, wholefoodsmarket.com, amazonfresh.com, amazonpay.com, amazonadvertising.com ","amazon.com"
" Yes "," WMT "," NYSE ",NA,NA," 2.3 million "," 1962 "," Bentonville, Arkansas "," walmart.com, samsclub.com, samsclub.ca, walmart.ca, walmart.com.mx, walmart.com.br, walmart.com.ar, walmart.cl, walmart.com.co, walmart.com.sv, walmart.com.gt, walmart.com.hn, walmart.com.ni, walmart.com.cr, walmart.com.pa, walmart.com.do, walmart.com.pe, walmart.com.uy, walmart.com.ec, walmart.com.bo, walmart.com.py, walmart.com.ar, walmart.com.co, walmart.com.sv, walmart.com.gt, walmart.com.hn, walmart.com.ni, walmart.com.cr, walmart.com.pa, walmart.com.do, walmart.com.pe, walmart.com.uy, walmart.com.ec, walmart.com.bo, walmart.com.py ","walmart.com"
" Yes "," EBAY "," Nasdaq "," $26.53B "," $10.4B ",NA," 1995 "," San Jose, California "," ebay.com, stubhub.com, carparts.com, shopping.com, thefind.com, half.com, sierratradingpost.com ","ebay.com"
" Yes "," AMZN "," NASDAQ "," $1.03 trillion "," $477.9 billion "," 1.6 million "," 1994 "," Seattle, Washington "," amazon.com, amazonaws.com, audible.com, goodreads.com, imdb.com, twitch.tv, zappos.com ","amazon.de"
" Yes "," AAPL "," NASDAQ "," $2.65 trillion "," $365.82 billion "," 154,000 "," 1976 "," Cupertino, California "," apple.com, icloud.com, mac.com, me.com ","apple.com"
" Yes "," AMZN "," Nasdaq "," $1.63 trillion "," $477.99 billion "," 1.6 million "," 1994 "," Seattle, Washington "," amazon.com, amazonaws.com, audible.com, twitch.tv, zappos.com, ring.com, wholefoodsmarket.com, imdb.com, goodreads.com, shopbop.com ","amazon.co.uk"
" No ","  ","  ","  ","  ","  "," 2016 "," Boston, Massachusetts "," temu.com ","temu.com"
" Yes "," TGT "," NYSE "," $71.15B "," $101.59B "," 343,000 "," 1902 "," Minneapolis, Minnesota "," target.com, targetemployee.com, targetcareers.com, shipt.com, roundelhouse.com, target.ca, target.com.au ","target.com"
" Yes "," M "," NYSE "," $10.13B "," $24.84B "," 74,000 "," 1858 "," New York City, New York "," macys.com, bloomingdales.com, bluemercury.com, macysinc.com, bloomingdales.co.uk, macys.co.uk, macys.de, bloomingdales.de, macys.fr, bloomingdales.fr, macys.it, bloomingdales.it, macys.es, bloomingdales.es, macys.com.mx, bloomingdales.com.mx, macys.ca, bloomingdales.ca, macys.com.co, bloomingdales.com.co, macys.com.pe, bloomingdales.com.pe, macys.com.ar, bloomingdales.com.ar, macys.com.cl, bloomingdales.com.cl, macys.com.uy, bloomingdales.com.uy, macys.com.py, bloomingdales.com.py, macys.com.ec, bloomingdales.com.ec, macys.com.do, bloomingdales.com.do, macys.com.sv, bloomingdales.com.sv, macys.com.gt, bloomingdales.com.gt, macys.com.hn, bloomingdales.com.hn, macys.com.ni, bloomingdales.com.ni, macys.com.cr, bloomingdales.com.cr, macys.com.pa, bloomingdales.com.pa ","macys.com"
" Yes "," W "," NYSE "," $12.89B "," $13.7B "," 18,000 "," 2002 "," Boston, MA "," wayfair.com, jossandmain.com, allmodern.com, birchlane.com, perigold.com, onekingslane.com, houzz.com, build.com, and nedgis.com ","wayfair.com"
